CLE_ABONNEMENT,CLE_FACTURE,DATE_EMISSION_FACTURE,CONSO_FACTURE,DATE_RELEVE_INDEX_PRECEDENT_FACTURE_COMPOSITE,DATE_RELEVE_INDEX_FACTURE,NB_FACTURES_PAR_PDS,NB_JOURS_CONNUS,NUM_FAC_PAR_PDS
GN_0742100100218302,GN|0742100100218302|23320|1|00000,2023-05-03,16,2022-04-22,2023-04-04,2,347,1
GN_0742100100218302,GN|0742100100218302|24320|1|00000,2024-04-24,16,2023-04-04,2024-03-27,2,358,2
GN_0742100100218502,GN|0742100100218502|23320|1|00000,2023-05-03,25,2022-03-18,2023-04-23,3,401,1
GN_0742100100218502,GN|0742100100218502|24320|1|00000,2024-04-24,23,2023-04-23,2024-03-27,3,339,2
GN_0742100100218502,GN|0742100100218502|24743|1|00000,2024-05-21,91,2024-03-27,2024-04-26,3,30,3
GN_0742100100218804,GN|0742100100218804|24320|1|00000,2024-04-24,14,2023-04-03,2024-03-27,2,359,2
GN_0742100100219704,GN|0742100100219704|23320|1|00000,2023-05-03,6,2022-04-04,2023-04-07,2,368,1
GN_0742100100219704,GN|0742100100219704|24320|1|00000,2024-04-24,11,2023-04-07,2024-03-27,2,355,2
GN_0742100100219803,GN|0742100100219803|23320|1|00000,2023-05-03,6,2022-03-19,2023-04-06,2,383,1
GN_0742100100219803,GN|0742100100219803|24320|1|00000,2024-04-24,5,2023-04-06,2024-03-27,2,356,2
GN_0742100100219901,GN|0742100100219901|24320|1|00000,2024-04-24,12,2023-04-03,2024-03-27,2,359,2
GN_0742100100220205,GN|0742100100220205|24320|1|00000,2024-04-24,34,2023-04-03,2024-04-03,2,366,2
GN_0742100100220506,GN|0742100100220506|24320|1|00000,2024-04-24,82,2023-04-03,2024-03-27,2,359,2
GN_0742100100221202,GN|0742100100221202|23663|1|00000,2023-05-11,351,2023-04-03,2023-05-03,3,30,2
GN_0742100100221202,GN|0742100100221202|24320|1|00000,2024-04-24,216,2023-05-03,2024-03-28,3,330,3
GN_0742100100221401,GN|0742100100221401|24320|1|00000,2024-04-24,390,2023-04-03,2024-03-28,2,360,2
GN_0742100100223506,GN|0742100100223506|24320|1|00000,2024-04-24,79,2023-04-03,2024-03-28,2,360,2
GN_0742100100225405,GN|0742100100225405|23914|1|00000,2023-07-27,17,2023-04-03,2023-07-20,3,108,2
GN_0742100100225406,GN|0742100100225406|24320|1|00000,2024-04-24,38,2023-07-20,2024-03-13,3,237,3
GN_0742100100229306,GN|0742100100229306|23320|1|00000,2023-05-03,9,2022-04-04,2023-04-04,3,365,1
GN_0742100100229503,GN|0742100100229503|23320|1|00000,2023-05-03,20,2022-04-04,2023-04-04,2,365,1
GN_0742100100229504,GN|0742100100229504|24320|1|00000,2024-04-24,25,2024-01-04,2024-03-29,2,85,2
GN_0742100100241501,GN|0742100100241501|23320|1|00000,2023-05-03,140,2022-04-06,2023-04-04,1,363,1
GN_0742100100250301,GN|0742100100250301|23320|1|00000,2023-05-03,140,2022-04-05,2023-04-03,2,363,1
GN_0742100100250301,GN|0742100100250301|24320|1|00000,2024-04-24,163,2023-04-03,2024-04-09,2,372,2
GN_0742100100255708,GN|0742100100255708|22320|1|00000,2022-04-26,0,2022-03-10,2022-04-07,3,28,1
GN_0742100100256003,GN|0742100100256003|23320|1|00000,2023-05-03,295,2022-04-07,2023-04-07,2,365,1
GN_0742100100256003,GN|0742100100256003|24320|1|00000,2024-04-24,203,2023-04-07,2024-04-03,2,362,2
GN_0742100100256206,GN|0742100100256206|24320|1|00000,2024-04-24,40,2023-04-26,2024-04-04,1,344,1
GN_0742100100256602,GN|0742100100256602|23320|1|00000,2023-05-03,99,2022-04-07,2023-04-27,2,385,1
GN_0742100100256602,GN|0742100100256602|24320|1|00000,2024-04-24,88,2023-04-27,2024-04-04,2,343,2
GN_0742100100256905,GN|0742100100256905|22320|1|00000,2022-04-26,41,2022-03-02,2022-04-07,3,36,1
GN_0742100100259301,GN|0742100100259301|23320|1|00000,2023-05-03,55,2022-03-22,2023-04-04,2,378,1
GN_0742100100259301,GN|0742100100259301|24320|1|00000,2024-04-24,45,2023-04-04,2024-03-17,2,348,2
GN_0742100100261203,GN|0742100100261203|23320|1|00000,2023-05-03,6,2023-01-24,2023-04-02,2,68,1
GN_0742100100261203,GN|0742100100261203|24320|1|00000,2024-04-24,12,2023-04-02,2024-04-15,2,379,2
GN_0742100100268601,GN|0742100100268601|23320|1|00000,2023-05-03,7,2022-04-06,2023-04-03,2,362,1
GN_0742100100268601,GN|0742100100268601|24320|1|00000,2024-04-24,5,2023-04-03,2024-03-27,2,359,2
GN_0742100100274101,GN|0742100100274101|24320|1|00000,2024-04-24,548,2023-04-03,2024-04-09,1,372,1
GN_0742100100274201,GN|0742100100274201|23320|1|00000,2023-05-03,1552,2022-04-08,2023-04-06,2,363,1
GN_0742100100274201,GN|0742100100274201|24320|1|00000,2024-04-24,1794,2023-04-06,2024-04-05,2,365,2
GN_0742100100274901,GN|0742100100274901|23320|1|00000,2023-05-03,347,2022-04-05,2023-04-03,2,363,1
GN_0742100100274901,GN|0742100100274901|24320|1|00000,2024-04-24,376,2023-04-03,2024-04-09,2,372,2
GN_0742100100289512,GN|0742100100289512|24320|1|00000,2024-04-24,63,2023-04-03,2024-04-05,2,368,2
GN_0742100100297801,GN|0742100100297801|23244|1|00000,2023-01-16,24,2022-04-04,2023-01-05,3,276,1
GN_0742100100297802,GN|0742100100297802|23320|1|00000,2023-05-03,9,2023-01-05,2023-04-03,3,88,2
GN_0742100100297802,GN|0742100100297802|24320|1|00000,2024-04-24,39,2023-04-03,2024-04-05,3,368,3
GN_0742100100301001,GN|0742100100301001|23320|1|00000,2023-05-03,269,2022-04-05,2023-04-03,2,363,1
GN_0742100100301001,GN|0742100100301001|24320|1|00000,2024-04-24,217,2023-04-03,2024-04-09,2,372,2
GN_0742100100304001,GN|0742100100304001|24320|1|00000,2024-04-24,70,2023-04-06,2024-04-02,2,362,2
GN_0742100100310802,GN|0742100100310802|24320|1|00000,2024-04-24,40,2023-04-04,2024-04-04,1,366,1
GN_0742100100313304,GN|0742100100313304|23320|1|00000,2023-05-03,383,2022-04-06,2023-04-18,2,377,1
GN_0742100100313304,GN|0742100100313304|24320|1|00000,2024-04-24,402,2023-04-18,2024-04-03,2,351,2
GN_0742100100319401,GN|0742100100319401|23320|1|00000,2023-05-03,424,2022-04-06,2023-04-04,2,363,1
GN_0742100100319401,GN|0742100100319401|24320|1|00000,2024-04-24,522,2023-04-04,2024-04-09,2,371,2
GN_0742100100320803,GN|0742100100320803|23320|1|00000,2023-05-03,68,2022-04-05,2023-04-03,2,363,1
GN_0742100100320803,GN|0742100100320803|24320|1|00000,2024-04-24,65,2023-04-03,2024-04-03,2,366,2
GN_0742100100339401,GN|0742100100339401|24320|1|00000,2024-04-24,25,2023-04-07,2024-04-08,2,367,2
GN_0742100100339801,GN|0742100100339801|24320|1|00000,2024-04-24,112,2023-04-04,2024-04-09,1,371,1
GN_0742100100340009,GN|0742100100340009|24320|1|00000,2024-04-24,221,2023-04-07,2024-04-08,2,367,2
GN_0742100100340201,GN|0742100100340201|23320|1|00000,2023-05-03,75,2022-04-06,2023-04-04,2,363,1
GN_0742100100340201,GN|0742100100340201|24320|1|00000,2024-04-24,77,2023-04-04,2024-04-09,2,371,2
GN_0742100100342501,GN|0742100100342501|23320|1|00000,2023-05-03,36,2022-04-07,2023-04-07,2,365,1
GN_0742100100342501,GN|0742100100342501|24320|1|00000,2024-04-24,44,2023-04-07,2024-04-09,2,368,2
GN_0742100100362301,GN|0742100100362301|23320|1|00000,2023-05-03,50,2022-04-08,2023-04-13,2,370,1
GN_0742100100364701,GN|0742100100364701|23320|1|00000,2023-05-03,400,2022-04-07,2023-04-07,2,365,1
GN_0742100100364701,GN|0742100100364701|24320|1|00000,2024-04-24,400,2023-04-07,2024-04-11,2,370,2
GN_0742100100378806,GN|0742100100378806|24320|1|00000,2024-04-24,121,2023-04-03,2024-03-27,2,359,2
GN_0742100100383202,GN|0742100100383202|24320|1|00000,2024-04-24,74,2023-04-04,2024-04-03,2,365,2
GN_0742100100383701,GN|0742100100383701|24320|1|00000,2024-04-24,243,2023-04-05,2024-03-25,2,355,2
GN_0742100100400502,GN|0742100100400502|23320|1|00000,2023-05-03,115,2022-04-06,2023-04-04,2,363,1
GN_0742100100400502,GN|0742100100400502|24320|1|00000,2024-04-24,101,2023-04-04,2024-03-25,2,356,2
GN_0742100100402001,GN|0742100100402001|24320|1|00000,2024-04-24,758,2023-04-04,2024-04-03,2,365,2
GN_0742100100405101,GN|0742100100405101|23320|1|00000,2023-05-03,7,2022-04-05,2023-04-03,2,363,1
GN_0742100100405101,GN|0742100100405101|24320|1|00000,2024-04-24,17,2023-04-03,2024-04-09,2,372,2
GN_0742100100414901,GN|0742100100414901|24320|1|00000,2024-04-24,647,2023-04-03,2024-04-09,1,372,1
GN_0742100100415401,GN|0742100100415401|24320|1|00000,2024-04-24,650,2023-04-06,2024-04-02,2,362,2
GN_0742100100419401,GN|0742100100419401|23320|1|00000,2023-05-03,0,2022-04-05,2023-04-03,2,363,1
GN_0742100100419401,GN|0742100100419401|24320|1|00000,2024-04-24,0,2023-04-03,2024-04-09,2,372,2
GN_0742100100421002,GN|0742100100421002|24320|1|00000,2024-04-24,43,2023-04-05,2024-04-08,2,369,2
GN_0742100100424301,GN|0742100100424301|23320|1|00000,2023-05-03,3,2022-04-05,2023-04-03,2,363,1
GN_0742100100424301,GN|0742100100424301|24320|1|00000,2024-04-24,54,2023-04-03,2024-04-09,2,372,2
GN_0742100100430204,GN|0742100100430204|23320|1|00000,2023-05-03,18,2022-04-06,2023-04-04,2,363,1
GN_0742100100430204,GN|0742100100430204|24320|1|00000,2024-04-24,17,2023-04-04,2024-03-25,2,356,2
GN_0742100100431601,GN|0742100100431601|23320|1|00000,2023-05-03,50,2022-04-05,2023-04-03,2,363,1
GN_0742100100431601,GN|0742100100431601|24320|1|00000,2024-04-24,13,2023-04-03,2024-04-09,2,372,2
GN_0742100100434802,GN|0742100100434802|24320|1|00000,2024-04-24,195,2023-04-05,2024-04-05,2,366,2
GN_0742100100435501,GN|0742100100435501|23320|1|00000,2023-05-03,0,2022-04-05,2023-04-03,2,363,1
GN_0742100100435501,GN|0742100100435501|24320|1|00000,2024-04-24,0,2023-04-03,2024-04-09,2,372,2
GN_0742100100443902,GN|0742100100443902|23320|1|00000,2023-05-03,7,2022-04-14,2023-04-04,2,355,1
GN_0742100100443902,GN|0742100100443902|24320|1|00000,2024-04-24,8,2023-04-04,2024-03-26,2,357,2
GN_0742100100447003,GN|0742100100447003|23320|1|00000,2023-05-03,25,2022-04-04,2023-04-04,2,365,1
GN_0742100100447003,GN|0742100100447003|24320|1|00000,2024-04-24,20,2023-04-04,2024-03-29,2,360,2
GN_0742100100449403,GN|0742100100449403|24320|1|00000,2024-04-24,372,2023-04-07,2024-04-11,2,370,2
GN_0742100100452207,GN|0742100100452207|23320|1|00000,2023-05-03,2,2022-04-05,2023-04-13,2,373,1
GN_0742100100452207,GN|0742100100452207|24320|1|00000,2024-04-24,1,2023-04-13,2024-03-26,2,348,2
GN_0742100100454603,GN|0742100100454603|24320|1|00000,2024-04-24,53,2023-04-07,2024-04-08,2,367,2
GN_0742100100457307,GN|0742100100457307|23320|1|00000,2023-05-03,120,2022-03-26,2023-04-06,2,376,1
GN_0742100100457307,GN|0742100100457307|24320|1|00000,2024-04-24,116,2023-04-06,2024-04-05,2,365,2
GN_0742100100461001,GN|0742100100461001|24320|1|00000,2024-04-24,0,2023-04-03,2024-04-09,1,372,1
GN_0742100100461201,GN|0742100100461201|23320|1|00000,2023-05-03,0,2022-04-05,2023-04-03,2,363,1
GN_0742100100461201,GN|0742100100461201|24320|1|00000,2024-04-24,0,2023-04-03,2024-04-09,2,372,2
GN_0742100100461401,GN|0742100100461401|23320|1|00000,2023-05-03,0,2022-04-05,2023-04-03,2,363,1
GN_0742100100461401,GN|0742100100461401|24320|1|00000,2024-04-24,0,2023-04-03,2024-04-09,2,372,2
GN_0742100100466103,GN|0742100100466103|24320|1|00000,2024-04-24,12,2023-04-06,2024-04-16,2,376,2
GN_0742100100467701,GN|0742100100467701|24320|1|00000,2024-04-24,214,2023-04-03,2024-04-05,2,368,2
GN_0742100100473901,GN|0742100100473901|23320|1|00000,2023-05-03,3747,2022-04-06,2023-04-06,2,365,1
GN_0742100100475502,GN|0742100100475502|24320|1|00000,2024-04-24,9,2023-04-03,2024-04-02,2,365,2
GN_0742100100489601,GN|0742100100489601|23320|1|00000,2023-05-03,144,2022-04-06,2023-04-03,1,362,1
GN_0742100100494701,GN|0742100100494701|23320|1|00000,2023-05-03,0,2022-07-05,2023-10-02,1,454,1
GN_0742100200204101,GN|0742100200204101|24310|1|00000,2024-04-17,0,2023-03-27,2024-03-26,2,365,2
GN_0742100200213801,GN|0742100200213801|23310|1|00000,2023-04-21,200,2022-03-28,2023-04-17,2,385,1
GN_0742100200213801,GN|0742100200213801|24310|1|00000,2024-04-17,200,2023-04-17,2024-03-27,2,345,2
GN_0742100200222801,GN|0742100200222801|23310|1|00000,2023-04-21,115,2022-03-15,2023-03-28,2,378,1
GN_0742100200222801,GN|0742100200222801|24310|1|00000,2024-04-17,110,2023-03-28,2024-04-02,2,371,2
GN_0742100200227403,GN|0742100200227403|23310|1|00000,2023-04-21,74,2022-03-15,2023-03-28,2,378,1
GN_0742100200227403,GN|0742100200227403|24310|1|00000,2024-04-17,111,2023-03-28,2024-03-28,2,366,2
GN_0742100200227908,GN|0742100200227908|24310|1|00000,2024-04-17,400,2023-03-29,2024-03-28,1,365,1
GN_0742100200228401,GN|0742100200228401|24310|1|00000,2024-04-17,555,2023-03-29,2024-03-29,3,366,2
GN_0742100200228401,GN|0742100200228401|24743|1|00000,2024-05-21,2674,2024-03-29,2024-05-03,3,35,3
GN_0742100200234101,GN|0742100200234101|23310|1|00000,2023-04-21,14,2022-03-30,2023-03-30,2,365,1
GN_0742100200234101,GN|0742100200234101|24310|1|00000,2024-04-17,32,2023-03-30,2024-03-30,2,366,2
GN_0742100200249907,GN|0742100200249907|23310|1|00000,2023-04-21,4,2022-03-30,2023-04-03,2,369,1
GN_0742100200249907,GN|0742100200249907|24310|1|00000,2024-04-17,4,2023-04-03,2024-03-26,2,358,2
GN_0742100200250103,GN|0742100200250103|23310|1|00000,2023-04-21,252,2022-03-30,2023-03-28,2,363,1
GN_0742100200251105,GN|0742100200251105|24310|1|00000,2024-04-17,178,2023-03-29,2024-03-26,2,363,2
GN_0742100200252803,GN|0742100200252803|23310|1|00000,2023-04-21,2,2022-11-16,2023-03-28,2,132,1
GN_0742100200252803,GN|0742100200252803|24310|1|00000,2024-04-17,4,2023-03-28,2024-03-27,2,365,2
GN_0742100200264701,GN|0742100200264701|23310|1|00000,2023-04-21,0,2022-03-30,2023-03-30,2,365,1
GN_0742100200264901,GN|0742100200264901|23310|1|00000,2023-04-21,200,2022-03-28,2023-04-17,1,385,1
GN_0742100200265001,GN|0742100200265001|23310|1|00000,2023-04-21,15,2022-03-28,2023-04-17,2,385,1
GN_0742100200265001,GN|0742100200265001|24310|1|00000,2024-04-17,371,2023-04-17,2024-03-25,2,343,2
GN_0742100200265102,GN|0742100200265102|23310|1|00000,2023-04-21,239,2022-03-15,2023-03-28,2,378,1
GN_0742100200265102,GN|0742100200265102|24310|1|00000,2024-04-17,163,2023-03-28,2024-03-29,2,367,2
GN_0742100200265201,GN|0742100200265201|23310|1|00000,2023-04-21,40,2022-03-28,2023-04-17,2,385,1
GN_0742100200265201,GN|0742100200265201|24310|1|00000,2024-04-17,244,2023-04-17,2024-03-25,2,343,2
GN_0742100200265301,GN|0742100200265301|23310|1|00000,2023-04-21,25,2022-03-28,2023-04-17,2,385,1
GN_0742100200265301,GN|0742100200265301|24310|1|00000,2024-04-17,30,2023-04-17,2024-03-25,2,343,2
GN_0742100200270601,GN|0742100200270601|23310|1|00000,2023-04-21,308,2022-04-12,2023-03-28,2,350,1
GN_0742100200270601,GN|0742100200270601|24310|1|00000,2024-04-17,167,2023-03-28,2024-03-25,2,363,2
GN_0742100200270701,GN|0742100200270701|23310|1|00000,2023-04-21,1658,2022-04-12,2023-03-28,2,350,1
GN_0742100200270701,GN|0742100200270701|24310|1|00000,2024-04-17,1639,2023-03-28,2024-03-25,2,363,2
GN_0742100200270801,GN|0742100200270801|23310|1|00000,2023-04-21,501,2022-04-05,2023-03-28,2,357,1
GN_0742100200270801,GN|0742100200270801|24310|1|00000,2024-04-17,218,2023-03-28,2024-03-25,2,363,2
GN_0742100200272401,GN|0742100200272401|23310|1|00000,2023-04-21,278,2022-03-28,2023-03-28,2,365,1
GN_0742100200272401,GN|0742100200272401|24310|1|00000,2024-04-17,318,2023-03-28,2024-03-25,2,363,2
GN_0742100200276301,GN|0742100200276301|24310|1|00000,2024-04-17,58,2023-03-30,2024-03-29,2,365,2
GN_0742100200280201,GN|0742100200280201|23310|1|00000,2023-04-21,80,2022-03-31,2023-04-17,2,382,1
GN_0742100200280201,GN|0742100200280201|24310|1|00000,2024-04-17,85,2023-04-17,2024-03-28,2,346,2
GN_0742100200283701,GN|0742100200283701|24310|1|00000,2024-04-17,69,2023-03-31,2024-03-28,1,363,1
GN_0742100200287602,GN|0742100200287602|23310|1|00000,2023-04-21,4,2022-03-24,2023-03-29,2,370,1
GN_0742100200287602,GN|0742100200287602|24310|1|00000,2024-04-17,4,2023-03-29,2024-03-26,2,363,2
GN_0742100200288601,GN|0742100200288601|23310|1|00000,2023-04-21,10,2022-03-29,2023-03-29,2,365,1
GN_0742100200288601,GN|0742100200288601|24310|1|00000,2024-04-17,8,2023-03-29,2024-03-26,2,363,2
GN_0742100200305401,GN|0742100200305401|23310|1|00000,2023-04-21,21,2022-04-05,2023-03-31,2,360,1
GN_0742100200341002,GN|0742100200341002|24310|1|00000,2024-04-17,545,2023-03-30,2024-03-29,2,365,2
GN_0742100200353301,GN|0742100200353301|24310|1|00000,2024-04-17,13,2023-03-28,2024-03-29,1,367,1
GN_0742100200356101,GN|0742100200356101|23310|1|00000,2023-04-21,140,2022-03-31,2023-03-28,2,362,1
GN_0742100200356101,GN|0742100200356101|24310|1|00000,2024-04-17,24,2023-03-28,2024-03-28,2,366,2
GN_0742100200368701,GN|0742100200368701|23310|1|00000,2023-04-21,4,2022-03-28,2023-04-17,2,385,1
GN_0742100200368701,GN|0742100200368701|24310|1|00000,2024-04-17,4,2023-04-17,2024-03-28,2,346,2
GN_0742100200374901,GN|0742100200374901|23310|1|00000,2023-04-21,234,2022-03-30,2023-03-28,2,363,1
GN_0742100200374901,GN|0742100200374901|24310|1|00000,2024-04-17,56,2023-03-28,2024-03-27,2,365,2
GN_0742100200390402,GN|0742100200390402|23310|1|00000,2023-04-21,3422,2022-03-31,2023-03-31,2,365,1
GN_0742100200390402,GN|0742100200390402|24310|1|00000,2024-04-17,3744,2023-03-31,2024-03-28,2,363,2
GN_0742100200397302,GN|0742100200397302|23310|1|00000,2023-04-21,52,2022-03-28,2023-04-17,2,385,1
GN_0742100200397302,GN|0742100200397302|24310|1|00000,2024-04-17,134,2023-04-17,2024-03-25,2,343,2
GN_0742100200409501,GN|0742100200409501|23310|1|00000,2023-04-21,14,2023-02-07,2023-03-31,2,52,1
GN_0742100200409501,GN|0742100200409501|24310|1|00000,2024-04-17,11,2023-03-31,2024-03-28,2,363,2
GN_0742100440007401,GN|0742100440007401|24330|1|00000,2024-04-26,544,2023-04-05,2024-04-08,2,369,2
GN_0742100440007601,GN|0742100440007601|24330|1|00000,2024-04-26,5,2023-04-05,2024-04-08,2,369,2
GN_0742100440012002,GN|0742100440012002|24330|1|00000,2024-04-26,180,2023-04-07,2024-04-16,2,375,1
GN_0742100440012002,GN|0742100440012002|24934|1|00000,2024-06-19,36,2024-04-16,2024-06-14,2,59,2
GN_0742100440012101,GN|0742100440012101|24330|1|00000,2024-04-26,10,2023-04-05,2024-04-08,2,369,2
GN_0742100440012502,GN|0742100440012502|23320|1|00000,2023-05-03,10,2023-01-07,2023-04-06,2,89,1
GN_0742100440012502,GN|0742100440012502|24330|1|00000,2024-04-26,28,2023-04-06,2024-04-18,2,378,2
GN_0742100440019203,GN|0742100440019203|23320|1|00000,2023-05-03,20,2022-04-08,2023-04-25,2,382,1
GN_0742100440019203,GN|0742100440019203|24330|1|00000,2024-04-26,18,2023-04-25,2024-04-16,2,357,2
GN_0742100440034901,GN|0742100440034901|23320|1|00000,2023-05-03,55,2022-04-05,2023-04-05,2,365,1
GN_0742100440034901,GN|0742100440034901|24330|1|00000,2024-04-26,20,2023-04-05,2024-04-08,2,369,2
GN_0742100440038803,GN|0742100440038803|23320|1|00000,2023-05-03,20,2022-04-06,2023-04-14,2,373,1
GN_0742100440038803,GN|0742100440038803|24330|1|00000,2024-04-26,17,2023-04-14,2024-04-10,2,362,2
GN_0742100440054301,GN|0742100440054301|24330|1|00000,2024-04-26,42,2023-03-27,2024-04-02,2,372,2
GN_0742100440057502,GN|0742100440057502|24330|1|00000,2024-04-26,138,2023-03-27,2024-04-02,2,372,2
GN_0742100440062101,GN|0742100440062101|24330|1|00000,2024-04-26,52,2023-03-27,2024-04-02,2,372,2
GN_0742100440063101,GN|0742100440063101|24330|1|00000,2024-04-26,670,2023-03-28,2024-04-03,2,372,2
GN_0742100440063502,GN|0742100440063502|22330|1|00000,2022-04-28,0,2022-03-29,2022-04-05,3,7,1
