CLE_ABONNEMENT,DATE_ENTREE_LOCAL_ABONNEMENT,DATE_SOUSCRIPTION_ABONNEMENT,DATE_RESILIATION_ABONNEMENT
GN_1180180100636601,,,1994-06-15
GN_1180180100636701,,,1994-06-15
GN_1180180100636801,,,1994-06-15
GN_1180180100636901,,,1994-06-15
GN_1180180100651403,2001-10-02,2001-10-02,2007-01-02
GN_1180180100653102,2001-11-08,2001-11-08,2002-08-16
GN_1180180100654001,,,2013-04-18
GN_1180180100654002,2014-11-29,2014-11-29,2018-01-29
GN_1180180100681102,2002-07-01,2002-07-01,2006-07-07
GN_1180180100681103,2006-07-07,2006-07-17,2016-11-16
GN_1180180100682201,,,1991-06-20
GN_1180180100685301,,,1991-05-16
GN_1180180100685303,2015-10-11,2016-03-25,2018-02-17
GN_1180180100685501,,,2007-03-29
GN_1180180100690801,,,2000-08-09
GN_1180180100697303,2008-01-18,2008-01-24,2009-07-22
GN_1180180100700901,,,1992-09-02
GN_1180180100761202,1997-03-24,,2010-08-12
GN_1180180100771903,2008-10-10,2008-10-10,2010-06-11
GN_1180180100781603,1999-02-09,,2001-01-31
GN_1180180100784502,1998-11-13,,2010-01-26
GN_1180180100786102,2000-02-01,2000-02-01,2003-03-31
GN_1180180100794202,1998-01-28,,2019-12-09
GN_1180180100796704,2006-09-30,2006-11-23,2015-10-05
GN_1180180100802205,2008-11-27,2008-12-01,2012-03-26
GN_1180180100803503,1996-11-13,,2000-08-08
GN_1180180100806503,2009-06-02,2009-06-02,2011-03-01
GN_1180180100806504,2011-01-01,2011-03-01,2013-11-04
GN_1180180100806505,2014-07-01,2014-07-01,2015-10-06
GN_1180180100856006,2013-09-10,2013-09-16,2018-05-31
GN_1180180100895701,,,2000-03-01
GN_1180180100898301,,,2003-06-19
GN_1180180100898605,2001-01-04,2001-01-23,2018-03-06
GN_1180180100899003,2006-08-29,2006-08-29,2016-11-28
GN_1180180100946403,2008-03-20,2008-03-20,2008-04-22
GN_1180180100946404,2008-04-22,2008-04-22,2014-01-24
GN_1180180100961203,2004-07-06,2004-06-29,2005-04-12
GN_1180180101004802,1995-09-04,,1996-02-16
GN_1180180101005701,,,1989-12-07
GN_1180180101013803,2007-08-02,2007-08-02,2009-04-09
GN_1180180101013804,2009-04-08,2009-04-08,2012-05-30
GN_1180180101013806,2014-07-09,2014-09-04,2014-10-17
GN_1180180101013807,2015-03-23,2015-03-17,2019-04-03
GN_1180180101017002,1998-01-01,,1999-07-01
GN_1180180101020401,,,1989-10-25
GN_1180180101023201,,,2007-12-10
GN_1180180101023403,2004-05-27,2005-02-25,2005-04-20
GN_1180180101030001,,,1990-06-21
GN_1180180101030401,,,1989-07-01
GN_1180180101031204,2006-03-24,2006-06-19,2007-03-12
GN_1180180101031208,2013-03-27,2013-03-27,2014-03-27
GN_1180180101035703,2013-02-13,2013-03-08,2013-10-09
GN_1180180101036605,2007-10-30,2007-11-13,2010-06-15
GN_1180180101036606,2015-09-16,2015-09-15,2018-07-02
GN_1180180101041506,2011-03-01,2011-03-23,2011-10-26
GN_1180180101041507,2008-01-01,2011-01-01,2012-01-27
GN_1180180101041508,2012-01-27,2012-01-27,2014-07-15
GN_1180180101041604,2005-04-01,2005-03-29,2011-09-05
GN_1180180101041606,2013-07-01,2013-11-27,2014-09-15
GN_1180180101042703,1998-11-04,,2000-10-02
GN_1180180101042905,2001-01-23,2001-02-19,2001-03-20
GN_1180180101042906,2001-04-10,2009-03-30,2009-04-27
GN_1180180101044301,,,2003-07-01
GN_1180180101048701,,,1991-04-15
GN_1180180101048801,,,1989-04-21
GN_1180180101054603,2002-03-01,2002-02-28,2003-06-04
GN_1180180101056902,1994-11-01,,2000-02-25
GN_1180180101064302,2009-03-11,2009-03-13,2010-02-26
GN_1180180101077301,,,1992-10-26
GN_1180180101184705,2009-01-01,2009-02-25,2010-09-21
GN_1180180101202703,2007-06-19,2007-06-19,2008-10-07
GN_1180180101202705,2011-11-03,2011-11-03,2011-11-03
GN_1180180101493003,1992-07-01,,1995-01-01
GN_1180180101496503,1995-02-01,,2005-10-04
GN_1180180101499302,1992-07-15,,1994-03-18
GN_1180180101499501,,,1991-05-30
GN_1180180101499505,2016-09-13,2016-09-21,2017-08-01
GN_1180180101502601,,,2017-01-16
GN_1180180101503401,,,2012-12-20
GN_1180180101504304,2004-09-03,2004-09-06,2009-01-05
GN_1180180101504502,2014-01-15,2014-02-07,2016-07-07
GN_1180180101504503,2016-07-08,2016-08-25,2017-01-24
GN_1180180101509601,,,2007-12-31
GN_1180180101511801,,,2007-08-13
GN_1180180101511802,2007-07-01,2007-08-31,2014-03-26
GN_1180180101512801,,,1999-06-18
GN_1180180101541801,,,2005-03-04
GN_1180180101554301,,,1990-07-16
GN_1180180101554302,,,2019-06-05
GN_1180180101582103,2002-12-01,2003-03-07,2006-11-06
GN_1180180101591201,,,2001-06-30
GN_1180180101591802,1994-07-01,,2000-04-05
GN_1180180101592001,,,1989-09-08
GN_1180180101604101,,,1991-12-30
GN_1180180101614002,1998-09-02,,2003-06-02
GN_1180180101614501,,,1996-01-01
GN_1180180101619207,2013-07-01,2013-07-01,2017-09-25
GN_1180180101621201,,,1995-02-01
GN_1180180101623001,,,2002-06-01
GN_1180180101623906,1997-08-20,,2000-07-12
GN_1180180101645501,,,1997-12-31
GN_1180180101648203,1994-10-21,,2005-01-28
GN_1180180101660902,1998-10-05,,2008-04-28
GN_1180180101686701,,,1992-10-27
GN_1180180101701401,,,1992-11-27
GN_1180180101708204,2005-10-01,2005-10-05,2010-11-19
GN_1180180101708205,2012-05-22,2012-05-22,2015-12-31
GN_1180180101709001,,,1997-07-02
GN_1180180101709601,,,1991-05-13
GN_1180180101709902,1997-10-01,,2011-05-01
GN_1180180101732202,1993-01-01,,2006-11-14
GN_1180180101732203,2006-11-01,2007-01-02,2010-03-01
GN_1180180101739401,,,1991-11-12
GN_1180180101757901,,,2009-11-03
GN_1180180101767301,,,1993-10-19
GN_1180180101768901,,,1991-05-15
GN_1180180101768902,1991-08-01,,2013-01-15
GN_1180180101771004,2004-06-06,2004-06-08,2008-11-26
GN_1180180101771007,2014-08-29,2014-08-29,2016-02-12
GN_1180180101797501,,,1994-07-01
GN_1180180101827304,1998-10-20,,2001-12-18
GN_1180180101827305,2001-12-18,2001-12-18,2012-03-28
GN_1180180101827306,2012-07-16,2012-07-16,2012-12-31
GN_1180180101827307,2013-09-01,2013-09-30,2016-06-24
GN_1180180101828307,1999-10-31,1999-11-05,2000-07-20
GN_1180180101833601,,,2015-09-14
GN_1180180101833802,2006-01-01,2006-05-05,2008-03-01
GN_1180180101833803,2008-09-16,2008-09-16,2011-09-16
GN_1180180101833804,2011-11-15,2011-11-15,2014-04-01
GN_1180180101840401,,,2005-05-19
GN_1180180101842102,2010-09-14,2010-09-14,2015-06-01
GN_1180180101843701,,,1989-06-15
GN_1180180101843702,,,2017-10-13
GN_1180180101852205,2000-03-01,2000-04-20,2005-11-14
GN_1180180101852206,2005-11-01,2005-11-08,2012-01-10
GN_1180180101852207,2011-12-08,2012-01-13,2014-01-31
GN_1180180101901501,,,1992-12-22
GN_1180180101905503,2008-06-01,2008-10-21,2011-05-06
GN_1180180101913501,,,1990-07-01
GN_1180180101915402,2000-08-02,2000-08-03,2003-12-26
GN_1180180101918502,2015-07-02,2015-09-01,2016-10-13
GN_1180180101918702,2015-07-02,2015-09-01,2016-10-13
GN_1180180101919402,1994-07-01,,1995-01-10
GN_1180180101922806,1998-11-17,,2001-03-07
GN_1180180101922808,2004-06-15,2004-07-02,2006-05-24
GN_1180180101936703,2010-12-01,2010-12-15,2011-07-19
GN_1180180101947702,,,1998-10-12
GN_1180180101947703,1998-11-01,,2012-08-02
GN_1180180101965902,2003-07-01,2003-12-09,2004-03-30
GN_1180180101977401,,,1993-06-30
GN_1180180101999901,,,2006-10-09
GN_1180180101999902,2006-10-09,2006-12-22,2009-10-20
GN_1180180102000404,2013-09-25,2013-10-23,2014-07-17
GN_1180180102000406,2014-06-30,2017-08-01,2017-10-04
GN_1180180102008103,1992-07-01,,1992-11-10
GN_1180180102014602,1992-06-04,,2004-01-30
GN_1180180102015603,2001-02-01,2001-05-04,2011-08-16
GN_1180180102018802,1991-10-01,,2000-10-01
GN_1180180102018803,2000-10-01,2000-10-16,2013-09-13
GN_1180180102021001,,,1992-10-27
GN_1180180102034905,1998-06-22,,2005-09-05
GN_1180180102039403,1997-04-02,,1997-06-15
GN_1180180102040601,,,2015-07-28
GN_1180180102051603,1994-03-18,,1996-08-01
GN_1180180102062603,2002-08-01,2002-12-31,2005-05-31
GN_1180180102066101,,,2008-08-29
GN_1180180102066601,,,1991-05-02
GN_1180180102066604,2015-02-06,2015-03-18,2015-10-01
GN_1180180102072902,1997-01-24,,2000-01-18
GN_1180180102073401,,,1988-12-30
GN_1180180102091802,1991-01-01,,1999-01-01
GN_1180180102091803,1996-08-01,,2011-09-20
GN_1180180102091804,2011-12-01,2011-12-19,2015-09-01
GN_1180180102093504,2006-02-23,2006-02-23,2016-11-01
GN_1180180102097401,,,2007-10-26
GN_1180180102099703,2004-02-04,2004-02-25,2009-06-19
GN_1180180102099705,2010-04-01,2010-04-06,2013-05-23
GN_1180180102099706,2013-05-23,2013-05-23,2013-10-21
GN_1180180102102602,1992-01-01,,1992-07-01
GN_1180180102113201,,,1992-10-21
GN_1180180102116104,2000-06-21,2000-06-26,2001-11-20
GN_1180180102126001,,,2015-12-23
GN_1180180102131202,2009-03-16,2009-03-16,2012-12-31
GN_1180180102150904,2006-06-07,2006-06-07,2006-06-07
GN_1180180102150905,2006-06-07,2006-07-21,2015-09-24
GN_1180180102166301,,,2017-10-13
GN_1180180102168003,1995-10-31,,1998-11-02
GN_1180180102168302,1998-05-04,,2010-01-27
GN_1180180102171401,,,2014-04-03
GN_1180180102175202,1991-07-07,,1999-01-21
GN_1180180102189501,,,2005-04-11
GN_1180180102189503,2014-06-02,2014-06-02,
GN_1180180102192001,,,2002-05-15
GN_1180180102197401,,,2009-04-16
GN_1180180102197903,1998-04-03,,2002-10-16
GN_1180180102198001,,,2005-10-10
GN_1180180102199606,2012-11-28,2013-01-28,2013-02-21
GN_1180180102200101,,,2016-10-05
GN_1180180102201404,1998-01-01,,2008-07-07
GN_1180180102206303,1996-07-01,,2001-02-01
GN_1180180102208801,,,1995-11-16
GN_1180180102222101,,,1994-04-28
GN_1180180102235301,,,2007-12-10
GN_1180180102238001,,,1994-06-15
GN_1180180102238908,1999-07-12,,1999-11-23
GN_1180180102238910,2015-12-24,2016-02-29,2016-03-17
GN_1180180102242903,1997-04-01,,2001-08-16
GN_1180180102243002,,,1992-11-27
GN_1180180102243107,2003-05-16,2003-06-25,2004-05-10
GN_1180180102246602,1997-07-01,,1998-02-12
GN_1180180102252203,1999-08-01,,2007-08-28
GN_1180180102286102,2009-03-06,2009-03-06,2015-06-02
GN_1180180102287701,,,2015-09-24
GN_1180180102291305,2005-06-22,2005-07-01,2008-04-01
GN_1180180102294801,,,1990-06-22
GN_1180180102295101,,,1993-01-01
GN_1180180102296201,,,1995-10-30
GN_1180180102299502,1992-01-01,,1996-07-01
GN_1180180102313701,,,1991-03-07
GN_1180180102313702,1991-03-07,,2017-10-13
GN_1180180102330102,1995-01-16,,2001-12-13
GN_1180180102342601,,,1994-12-29
GN_1180180102343202,2005-10-19,2005-12-07,2010-11-18
GN_1180180102343203,2011-06-27,2011-06-27,2013-08-06
GN_1180180102343204,2015-02-01,2015-06-10,2016-08-08
GN_1180180102343205,2016-08-01,2016-08-10,2017-10-12
GN_1180180102346401,,,2007-03-12
GN_1180180102355302,1993-10-05,,2007-06-25
GN_1180180102356701,,,1989-07-01
GN_1180180102377004,2005-04-20,2005-04-29,2012-10-22
GN_1180180102377503,1991-01-01,,1992-01-24
GN_1180180102378406,2006-03-24,2006-06-19,2007-06-22
GN_1180180102378409,2012-09-10,2012-09-10,2015-04-16
GN_1180180102378410,2015-04-17,2015-04-29,2016-10-31
GN_1180180102384501,,,1990-09-17
GN_1180180102385702,2014-11-14,2014-11-14,2015-10-12
GN_1180180102386605,2008-06-01,2008-06-11,2012-11-02
GN_1180180102413701,,,1993-12-02
GN_1180180102413702,1993-12-02,,2009-11-24
GN_1180180102414401,,,1993-12-17
GN_1180180102414505,2006-01-19,2006-01-19,2010-10-26
GN_1180180102414701,,,1996-03-01
GN_1180180102414802,2008-11-28,2009-02-16,2012-10-30
GN_1180180102415601,,,1989-12-01
GN_1180180102415701,,,1992-07-13
GN_1180180102416001,,,1989-07-11
GN_1180180102416003,2013-06-06,2013-06-19,2016-07-04
GN_1180180102416102,2013-06-06,2013-06-19,2016-07-04
GN_1180180102416702,,,2010-12-09
GN_1180180102416804,1995-10-13,,1996-06-13
GN_1180180102418101,,,2004-12-02
GN_1180180102424403,1995-12-01,,1996-03-20
GN_1180180102427202,1991-12-02,,1997-01-01
GN_1180180102436405,2000-11-24,2000-11-27,2002-06-21
GN_1180180102436406,2002-06-21,2002-06-21,2011-02-11
GN_1180180102442102,2011-02-21,2011-02-21,2012-11-26
GN_1180180102445203,2003-03-19,2003-03-19,2010-04-24
GN_1180180102448002,1997-06-11,,2004-01-01
GN_1180180102466601,,,1992-01-02
GN_1180180102480801,,,2012-02-01
GN_1180180102483301,,,1996-12-03
GN_1180180102484701,,,1993-03-18
GN_1180180102489303,1994-01-01,,2001-06-01
GN_1180180102489304,2001-06-01,2001-06-01,2018-06-25
GN_1180180102492903,2000-05-01,2000-05-03,2005-02-09
GN_1180180102492904,2005-02-09,2005-02-24,2006-07-03
GN_1180180102494401,,,2000-06-28
GN_1180180102501102,2010-03-01,2010-03-01,2011-07-22
GN_1180180102501507,2005-04-01,2005-04-05,2008-01-24
GN_1180180102507203,2009-07-01,2009-12-17,2010-11-18
GN_1180180102529502,1991-10-01,,1994-06-15
GN_1180180102533901,,,1991-07-09
GN_1180180102533902,1991-07-09,,1991-11-13
GN_1180180102534001,,,1991-07-09
GN_1180180102534002,1991-07-09,,1991-11-13
GN_1180180102540102,1991-11-04,,1992-07-31
GN_1180180102540103,1992-07-31,,1994-12-01
GN_1180180102540901,,,2010-02-15
GN_1180180102552703,1992-12-21,,1993-07-09
GN_1180180102556005,2007-04-18,2007-04-18,2009-11-28
GN_1180180102556006,2009-11-28,2010-01-05,2014-09-09
GN_1180180102557704,1999-07-01,,2002-08-11
GN_1180180102557705,2002-08-11,2002-08-22,2008-02-15
GN_1180180102567701,,,1989-07-26
GN_1180180102582502,1997-01-02,,2007-01-31
GN_1180180102584404,2014-09-24,2014-11-13,2017-07-21
GN_1180180102589101,,,2002-01-01
GN_1180180102596601,,,2005-10-26
GN_1180180102604703,2003-04-01,2003-03-31,2010-08-17
GN_1180180102608604,1999-01-06,,2005-09-26
GN_1180180102608605,2005-11-03,2005-10-31,2006-07-13
GN_1180180102622401,,,2010-04-29
GN_1180180102622402,2010-03-01,2010-03-01,2010-11-22
GN_1180180102625102,2005-06-10,2005-06-10,2007-07-31
GN_1180180102625504,2009-01-01,2009-02-09,2011-08-08
GN_1180180102632201,,,1992-12-16
GN_1180180102643002,2001-09-01,2001-08-31,2005-01-11
GN_1180180102650003,1996-09-18,,2003-10-20
GN_1180180102656605,2002-07-02,2002-07-02,2006-02-15
GN_1180180102656803,2004-03-31,2004-04-02,2007-09-03
GN_1180180102657501,,,2017-10-13
GN_1180180102663607,2003-07-01,2003-08-29,2004-04-29
GN_1180180102663611,2011-02-07,2011-02-08,2012-06-11
GN_1180180102681201,,,1992-03-25
GN_1180180102685201,,,1990-01-01
GN_1180180102686303,1998-10-12,,2004-09-24
GN_1180180102686904,2005-10-03,2005-10-04,2009-05-04
GN_1180180102686905,2009-05-04,2009-05-04,2012-04-24
GN_1180180102689601,,,2012-02-02
GN_1180180102689602,2015-09-01,2015-09-01,2016-08-04
GN_1180180102693204,1997-08-04,,2003-12-23
GN_1180180102693207,2018-01-29,2018-01-29,2018-06-19
GN_1180180102694001,,,1990-06-21
GN_1180180102694302,1991-10-11,,1992-11-27
GN_1180180102706002,,,1992-12-11
GN_1180180102710802,2003-04-01,2003-10-17,2007-06-15
GN_1180180102719703,2005-08-10,2005-09-19,2007-05-29
GN_1180180102747703,2001-06-29,2001-06-29,2008-04-16
GN_1180180102754403,2014-05-01,2014-04-15,2018-07-01
GN_1180180102761302,1994-09-01,,1996-04-01
GN_1180180102762512,2007-06-15,2007-10-17,2008-04-01
GN_1180180102763402,1994-07-01,,1998-09-01
GN_1180180102771807,2014-06-10,2014-12-19,2019-01-09
GN_1180180102776402,1995-10-27,,1996-12-13
GN_1180180102776403,1997-04-23,,2019-01-21
GN_1180180102786501,,,1992-01-02
GN_1180180102788104,2001-01-01,2001-09-18,2004-04-01
GN_1180180102788106,2014-06-02,2014-05-27,2014-09-08
GN_1180180102790001,,,2001-11-20
GN_1180180102794702,1990-07-01,,1992-03-24
GN_1180180102798002,,,1996-04-04
GN_1180180102798407,2003-02-01,2003-02-04,2005-03-24
GN_1180180102799602,1995-06-26,,2007-05-29
GN_1180180102799603,2007-03-27,2007-03-27,2012-07-25
GN_1180180102799604,2012-08-09,2012-08-09,2019-01-16
GN_1180180102800004,2006-01-01,2006-10-26,2008-06-26
GN_1180180102800005,2008-06-26,2008-06-26,2009-11-03
GN_1180180102802202,2008-06-02,2008-06-02,2009-08-10
GN_1180180102802203,2009-08-10,2009-08-10,2009-10-01
GN_1180180102809401,,,1990-05-10
GN_1180180102815606,1997-04-07,,2000-10-11
GN_1180180102815607,2002-01-01,2002-11-26,2014-02-06
GN_1180180102823904,2004-07-23,2004-08-18,2007-07-02
GN_1180180102824302,1997-01-01,,2003-05-27
GN_1180180102825102,1992-07-15,,1994-11-29
GN_1180180102825405,1997-02-01,,1997-08-05
GN_1180180102825406,1997-11-29,,2007-11-21
GN_1180180102828003,2015-05-11,2015-05-07,2016-12-20
GN_1180180102830703,1991-12-30,,1993-06-30
GN_1180180102831202,2013-01-31,2013-01-31,2013-01-31
GN_1180180102832405,2003-12-01,2003-12-09,2011-03-03
GN_1180180102836904,2000-07-01,2000-07-06,2012-02-21
GN_1180180102849207,2010-03-03,2010-03-05,2011-06-06
GN_1180180102849209,2015-02-22,2015-03-10,2015-11-27
GN_1180180102858004,1994-02-18,,1996-08-29
GN_1180180102859901,,,2017-10-13
GN_1180180102866602,1990-12-03,,2001-04-09
GN_1180180102866605,2013-08-01,2013-08-21,2015-02-20
GN_1180180102869501,,,1989-06-30
GN_1180180102880607,2010-04-28,2010-04-28,2014-01-22
GN_1180180102884901,,,1991-12-10
GN_1180180102893901,,,2002-07-08
GN_1180180102898701,,,1992-09-18
GN_1180180102899006,2002-04-10,2002-04-10,2005-04-01
GN_1180180102902803,1995-02-03,,1995-06-16
GN_1180180102904902,,,1991-10-31
GN_1180180102904903,1991-11-01,,2017-10-13
GN_1180180102910103,2004-10-18,2004-10-18,2006-08-02
GN_1180180102913601,,,1997-06-30
GN_1180180102915101,,,2013-09-18
GN_1180180102915405,2009-08-10,2009-08-10,2010-07-30
GN_1180180102917201,,,2002-03-22
GN_1180180102919702,,,1991-09-03
GN_1180180102921004,2006-08-01,2006-09-14,2012-03-23
